rate_hits,cycles_leak,cycles_decode,total_time
0,183.903,94683.1,0.0105565
0,183.925,94747,0.0105644
0,183.825,94699.4,0.0105583
0,184.033,94758.2,0.0105657
0,183.79,94774.2,0.0105666
0,183.832,94752.6,0.0105642
0,183.903,94713.5,0.0105607
0,184.384,94779.7,0.0105682
0,183.925,94772.7,0.0105673
0,183.964,94788.4,0.0105682
0,183.799,94828.8,0.0105735
0,183.927,94848.6,0.0105749
0,183.866,94814.6,0.0105719
0,183.798,94814,0.0105722
0,183.949,94829.2,0.0105727
0,183.797,94782.7,0.0105684
0,184.159,94852.1,0.0105762
0,183.834,94774.8,0.0105667
0,183.826,94780.8,0.0105673
0,184.274,94753.2,0.0105652
0,184.026,94794.3,0.0105688
0,183.772,94771.4,0.0105671
0,183.906,94755.3,0.0105645
0,184.088,94728.5,0.0105624
0,183.983,94807.1,0.0105703
0,185.534,94855,0.0105769
0,183.723,94738.1,0.0105634
0,184.026,94730,0.0105617
0,183.904,94673.2,0.0105554
0,183.875,94770.2,0.0105662
0,183.838,94790.6,0.0105684
0,183.952,94705.1,0.0105598
0,184.197,94833.4,0.0105732
0,184.283,94712,0.0105606
0,184.344,94818,0.0105715
0,183.76,94777.8,0.0105678
0,184.172,94806.3,0.0105711
0,184.01,94824.4,0.010573
0,183.844,94791.1,0.0105693
0,184.063,94830.8,0.0105729
0,183.732,94853.2,0.0105762
0,184.007,94844.1,0.0105744
0,184.436,94800.2,0.0105704
0,184.092,94813.9,0.0105711
0,183.825,94799.5,0.0105694
0,183.814,94789.7,0.0105692
0,183.905,94786.7,0.010568
0,183.87,94780.1,0.0105672
0,183.911,94796.5,0.0105699
0,184.06,94752.8,0.0105643
0,184.77,94820.7,0.0105728
0,183.814,94709.3,0.0105602
0,183.785,94748.4,0.0105645
0,184.182,94726.4,0.0105622
0,183.785,94779.3,0.010568
0,183.821,94784.3,0.0105686
0,183.746,94751.3,0.0105649
0,183.957,94742,0.010563
0,186.676,94720.6,0.0105618
0,184.146,94807.1,0.0105703
0,183.989,94810.3,0.0105715
0,184.312,94768.3,0.010566
0,184.14,94725.1,0.010562
0,184.052,94780.8,0.0105674
0,183.973,94776.6,0.0105677
0,183.744,94758,0.0105656
0,183.977,94777.8,0.0105678
0,183.886,94820.4,0.0105718
0,184.173,94740,0.0105629
0,183.78,94776.7,0.0105677
0,183.872,94831,0.0105729
0,183.981,94738.1,0.0105634
0,183.868,94840,0.0105739
0,184.107,94796.9,0.01057
0,184.01,94820.6,0.0105726
0,183.881,94775.1,0.0105667
0,185.297,95002.4,0.0105932
0,183.921,94797,0.0105692
0,183.878,94806.7,0.0105711
0,183.978,94733.6,0.0105622
0,183.886,94681.5,0.0105564
0,184.002,94779.7,0.0105673
0,183.86,94774.2,0.0105675
0,183.972,94753.1,0.0105643
0,183.798,94707.7,0.0105601
0,184.403,94780.6,0.0105675
0,183.841,94806.8,0.0105711
0,183.902,94779.2,0.0105672
0,183.895,94758.3,0.0105657
0,183.8,94758.6,0.0105658
0,183.837,94777.4,0.010567
0,183.948,94804.2,0.0105708
0,183.792,94791.6,0.0105694
0,184.22,94771.3,0.0105673
0,183.897,94661.8,0.010555
0,183.857,94627.8,0.0105504
0,183.792,94789,0.0105691
0,183.865,94756.9,0.0105647
0,183.865,94744.8,0.0105634
0,183.894,94768.7,0.010566
0,183.969,94824.4,0.0105722
0,184,94745.3,0.0105635
0,185.019,94987.5,0.0105906
0,183.795,94728.1,0.0105615
0,183.85,94674.2,0.0105555
0,184.01,94613.8,0.0105497
0,183.97,94629.8,0.0105506
0,183.836,94616.6,0.0105492
0,183.834,94692.6,0.0105584
0,183.983,94687.6,0.010557
0,183.787,94709.8,0.0105603
0,184.363,94699.9,0.0105594
0,183.821,94808.8,0.0105705
0,184.262,94786.8,0.0105681
0,184.003,94733.1,0.0105621
0,183.948,94786.5,0.0105689
0,184.1,94890.5,0.0105796
0,183.884,94806.4,0.0105702
0,184.094,94758.6,0.0105658
0,184.323,94751.1,0.010565
0,183.944,94725.8,0.0105613
0,183.986,94861.8,0.0105772
0,183.973,94767.2,0.0105667
0,184.052,94779.8,0.0105673
0,183.868,94803.9,0.01057
0,183.809,94734.8,0.0105631
0,183.839,94777.2,0.010567
0,184.234,94742.5,0.010564
0,185.252,94544.2,0.0105423
0,183.81,94701.7,0.0105586
0,183.921,94774.8,0.0105676
0,183.789,94824.2,0.010573
0,183.804,94821.4,0.0105727
0,183.787,94754.1,0.0105652
0,184,94799.4,0.0105695
0,183.951,94727.5,0.0105615
0,184.403,94695.8,0.0105581
0,184.021,94764.1,0.0105656
0,184.922,94708.3,0.0105595
0,183.98,94718.6,0.0105605
0,183.886,94732.7,0.010562
0,183.805,94774.2,0.0105666
0,183.782,94756.1,0.0105647
0,183.991,94765.4,0.0105657
0,184.351,94753.4,0.0105652
0,184.416,94798.7,0.0105695
0,184.112,94730.2,0.0105626
0,184.39,94833.3,0.0105733
0,184.106,94832.6,0.010574
0,183.812,94793.5,0.0105696
0,183.779,94843.2,0.0105752
0,183.836,94833,0.010574
0,183.823,94913,0.0105821
0,184.083,94908.4,0.0105824
0,184.547,94859.1,0.0105763
0,183.861,94855,0.0105756
0,183.954,94809.6,0.0105714
0,183.999,94857.9,0.010576
0,184.113,94844.5,0.0105745
0,183.71,94808.2,0.0105704
0,183.902,94836.6,0.0105736
0,183.854,94851.8,0.0105761
0,184.424,94852,0.0105763
0,184.111,94711.5,0.0105597
0,184.182,94813.4,0.010571
0,183.946,94769.2,0.0105669
0,184.042,94781.2,0.0105683
0,184.11,94829.1,0.0105728
0,183.866,94831.8,0.0105731
0,183.837,94746.8,0.0105644
0,183.873,94786.4,0.010568
0,184.345,94705.1,0.0105591
0,184.138,94729.4,0.0105617
0,183.997,94786.4,0.010568
0,183.894,94751,0.0105641
0,183.863,94782.7,0.0105684
0,184.122,94733.4,0.0105621
0,183.835,94724.4,0.010562
0,183.859,94810.8,0.0105707
0,185.834,94946.9,0.0105863
0,183.834,94730.6,0.0105626
0,183.857,94710.5,0.0105604
0,183.823,94823.4,0.0105721
0,183.929,94753.7,0.0105652
0,184.093,94804.3,0.01057
0,184.203,94810.4,0.0105707
0,183.897,94781.2,0.0105683
0,183.904,94801.7,0.0105705
0,184.699,94775.4,0.0105669
0,184.235,94703.9,0.0105597
0,183.945,94732.5,0.010562
0,183.9,94780.3,0.0105681
0,183.914,94713.5,0.0105607
0,183.757,94692.9,0.0105584
0,183.82,94739.6,0.0105636
0,183.925,94776.6,0.0105677
0,183.93,94779.6,0.0105681
0,184.301,94725.8,0.0105614
0,183.951,94834.8,0.0105742
0,183.746,94809.4,0.0105714
0,184.12,94767.4,0.0105667
0,183.798,94770.1,0.0105662
0,184.138,94753.5,0.0105644
0,183.799,94667.3,0.0105548
0,183.765,94721.9,0.0105616
0,184.838,94752.5,0.0105645
0,184.086,94626,0.0105502
0,183.938,94664.8,0.0105553
0,184.078,94719.4,0.0105614
0,183.985,94686.5,0.0105578
0,183.821,94680.2,0.0105562
0,184.056,94748.1,0.0105646
0,183.89,94712.3,0.0105598
0,183.892,94758.8,0.0105658
0,184.501,94818.1,0.0105716
0,183.988,94734.3,0.0105622
0,183.753,94681.9,0.0105572
0,183.946,94746.8,0.0105636
0,183.846,94785.7,0.0105679
0,183.767,94812.4,0.0105709
0,183.922,94800.3,0.0105704
0,183.922,94785,0.0105687
0,184.17,94811.8,0.0105717
0,183.953,94695.4,0.0105587
0,183.6,94731,0.0105627
0,183.959,94831.3,0.0105738
0,183.944,94723.4,0.0105618
0,183.775,94724.7,0.010562
0,184.114,94704.7,0.0105598
0,183.903,94785.4,0.0105679
0,183.794,94715.7,0.0105601
0,185.259,94744.9,0.0105637
0,184.011,94720.4,0.0105607
0,183.832,94788.5,0.0105691
0,183.766,94738.6,0.0105635
0,183.826,94787.5,0.010569
0,183.773,94743.6,0.0105641
0,183.824,94803.2,0.0105699
0,183.919,94738.8,0.0105635
0,183.934,94808.3,0.0105713
0,184.313,94789.1,0.0105692
0,183.9,94812.7,0.0105717
0,183.776,94756.9,0.0105655
0,183.871,94778.9,0.0105672
0,183.833,94801.2,0.0105696
0,184.081,94860.1,0.010577
0,184.073,94772.5,0.0105665
0,184.084,94765.2,0.0105657
0,184.137,94843.8,0.0105753
0,184.039,94755.9,0.0105646
0,183.904,94797.1,0.01057
0,183.936,94837.7,0.0105745
0,183.951,94798.8,0.0105702
0,183.787,94832.5,0.0105739
0,183.951,94846.4,0.0105758
0,184.025,94824,0.0105731
0,183.868,94797,0.0105692
0,185.043,94886.9,0.0105794
0,184.109,94841.6,0.0105742
0,184.017,94757.6,0.0105648
0,183.775,94818,0.0105723
0,184.093,94733.1,0.0105629
0,183.782,94691.3,0.0105582
0,184.002,94644.9,0.0105531
0,183.898,94640.5,0.0105518
0,184.234,94600.9,0.0105475
0,183.956,94706.5,0.01056
0,184.015,94699.5,0.0105592
0,183.921,94744.4,0.0105642
0,183.851,94823.2,0.0105721
0,183.976,94868.9,0.010578
0,183.593,94920.4,0.0105831
0,183.915,94819.7,0.0105717
0,184.258,94863.4,0.0105777
0,184.18,94818.7,0.0105725
0,184.007,94758.1,0.0105649
0,183.828,94824,0.010573
0,183.821,94833.7,0.010574
0,183.757,94795.4,0.0105698
0,184.11,94831.2,0.0105738
0,183.863,94788.5,0.0105682
0,183.755,94837.8,0.0105745
0,183.781,94757,0.0105656
0,185.55,94999.5,0.0105921
0,183.91,94856.2,0.0105766
0,183.878,94795.9,0.0105699
0,183.963,94842.6,0.0105742
0,183.795,94801.9,0.0105705
0,184.146,94803.4,0.0105699
0,183.723,94823.9,0.010573
0,183.82,94834.5,0.0105742
0,184.469,94798.2,0.0105703
0,183.893,94702.8,0.0105596
0,183.879,94838.9,0.0105747
0,183.836,94824.5,0.0105722
0,184.04,94795.5,0.010569
0,183.853,94792.3,0.0105687
0,184.188,94765.5,0.0105665
0,183.907,94762.7,0.0105654
0,183.857,94792.7,0.0105687
0,184.468,94765.3,0.0105657
0,184.044,94800.8,0.0105696
0,184.302,94788.5,0.0105683
0,183.954,94786.2,0.0105688
0,183.85,94829,0.0105727
0,183.807,94715.1,0.0105601
0,184.012,94763.7,0.0105655
0,183.802,94785.5,0.0105687
0,184.783,94881.4,0.0105796
0,186.654,94683.6,0.0105569
0,183.913,94749.8,0.0105639
0,183.821,94824.2,0.010573
0,184.34,94816.5,0.0105714
0,183.98,94807.3,0.0105711
0,184.141,94833.7,0.0105741
0,184.058,94762.6,0.0105662
0,183.84,94794.5,0.0105689
0,184.556,94842.2,0.0105743
0,184.059,94776.9,0.0105678
0,183.983,94886,0.0105799
0,184.069,94780,0.0105681
0,184.243,94782.8,0.0105676
0,184.092,94873.1,0.0105785
0,183.946,94808.8,0.0105713
0,183.832,94748.7,0.0105638
0,183.94,94848.3,0.0105749
0,184.34,94794.1,0.0105698
0,183.779,94760.4,0.010566
0,184.006,94736.5,0.0105625
0,183.81,94710.7,0.0105596
0,184.112,94650.4,0.0105538
0,183.777,94658.9,0.0105546
0,185.209,94756,0.0105648
0,186.637,94661.7,0.0105545
0,184.965,94913.1,0.0105833
0,184.007,94652.3,0.010554
0,184.081,94727.6,0.0105623
0,184.027,94725.6,0.0105613
0,183.835,94680.5,0.0105562
0,183.738,94749.6,0.0105647
0,184.004,94727.9,0.0105615
0,184.023,94638.8,0.0105516
0,183.81,94762,0.0105661
0,184.412,94705.6,0.01056
0,184.067,94676.8,0.0105558
0,183.63,94781.8,0.0105674
0,183.808,94717.3,0.0105612
0,184.029,94751.4,0.010565
0,183.945,94810.2,0.0105715
0,184.099,94816.6,0.0105722
0,184.117,94774.3,0.0105667
0,184.219,94827.6,0.0105727
0,186.622,94822.4,0.0105732
0,183.937,94847.8,0.0105756
0,183.796,94847.5,0.0105756
0,183.786,94781.5,0.0105683
0,183.978,94842.3,0.0105742
0,183.764,94789.9,0.0105692
0,183.928,94808.8,0.0105713
0,183.833,94802.8,0.0105698
0,184.965,94806.7,0.0105705
0,183.932,94759.6,0.0105658
0,183.727,94771.6,0.0105672
0,183.85,94779,0.0105672
0,184.261,94775.1,0.0105668
0,183.862,94735.1,0.0105623
0,183.877,94715.6,0.0105601
0,183.791,94771.7,0.0105672
0,183.829,94804.2,0.01057
0,184.534,94789.5,0.0105685
0,184.623,94745.5,0.0105644
0,183.812,94788.3,0.010569
0,183.846,94734.1,0.0105622
0,183.873,94849.6,0.010575
0,184.095,94843.9,0.0105753
0,184.247,94790.2,0.0105685
0,183.948,94821.5,0.0105719
0,184.435,94837.6,0.0105738
0,185.099,94731.8,0.0105629
0,184.041,94751.9,0.010565
0,185.347,94808,0.0105705
0,183.775,94759.5,0.010565
0,183.827,94754.6,0.0105648
0,183.822,94769.5,0.0105661
0,183.977,94668.6,0.0105558
0,183.811,94722.3,0.0105617
0,185.28,95003.5,0.0105924
0,183.859,94782,0.0105675
0,183.805,94742.3,0.0105639
0,183.772,94825.8,0.0105732
0,184.187,94710.1,0.0105596
0,183.895,94802.1,0.0105706
0,183.857,94760.8,0.0105652
0,183.849,94797.6,0.0105701
0,184.313,94764.2,0.0105665
0,183.952,94706.5,0.01056
0,183.848,94734.2,0.010563
0,183.815,94808.7,0.0105713
0,183.911,94816.4,0.0105721
0,183.978,94766.8,0.0105658
0,183.875,94805.5,0.0105701
0,183.827,94750.9,0.010564
0,183.928,94768.7,0.0105661
0,184.187,94799.7,0.0105704
0,184.135,94743,0.0105632
0,183.824,94787.9,0.010569
0,183.979,94825.7,0.0105724
0,183.979,94824.8,0.0105731
0,183.822,94863.9,0.0105774
0,183.796,94848.2,0.0105757
0,183.838,94831,0.0105738
0,184.003,94812.7,0.0105718
0,184.604,94682.6,0.0105566
0,183.833,94806.7,0.0105714
0,184.192,94791.7,0.0105686
0,183.931,94784.1,0.0105686
0,183.812,94854.4,0.0105764
0,183.885,94824.3,0.0105722
0,183.953,94802.2,0.0105706
0,183.913,94712.7,0.0105598
0,184.236,94773.9,0.0105675
0,183.83,94729,0.0105625
0,183.887,94826.6,0.0105733
0,183.785,94808.3,0.0105713
0,183.962,94767.4,0.0105668
0,183.981,94818.4,0.0105716
0,184.049,94800.1,0.0105704
0,184.708,94803.7,0.01057
0,183.85,94772,0.0105672
0,184.228,94774.4,0.0105676
0,183.845,94695,0.0105587
0,183.768,94795.5,0.0105698
0,183.802,94757.3,0.0105648
0,184.401,94804,0.0105708
0,183.85,94766,0.0105657
0,183.929,94807.7,0.0105712
0,184.089,94799.4,0.0105695
0,184.902,95122.2,0.0106064
0,184.119,94770.4,0.0105662
0,184.018,94749.4,0.0105647
0,183.819,94757,0.0105655
0,183.942,94760.3,0.0105659
0,183.933,94765.4,0.0105656
0,183.839,94749,0.0105638
0,183.839,94697.5,0.0105581
0,183.991,94749.5,0.0105649
0,184.537,94652.3,0.0105541
0,183.793,94699,0.0105591
0,183.987,94716.2,0.0105602
0,184.06,94710.3,0.0105604
0,183.835,94707.2,0.01056
0,183.949,94728.7,0.0105627
0,183.795,94823.9,0.0105721
0,183.767,94742.3,0.0105639
0,184.072,94767.2,0.010566
0,183.897,94690.4,0.0105582
0,183.851,94774.1,0.0105674
0,183.804,94775.6,0.0105676
0,184,94821.8,0.0105719
0,184.022,94789.9,0.0105684
0,183.796,94810.5,0.0105706
0,183.82,94739.1,0.0105635
0,183.895,94838.5,0.0105746
0,185.02,94749.5,0.010565
0,183.968,94701.3,0.0105594
0,183.805,94767,0.0105666
0,183.85,94781.3,0.0105682
0,184.009,94743.2,0.010564
0,183.837,94802.3,0.0105706
0,183.958,94751.8,0.0105642
0,183.938,94695.5,0.0105579
0,184.156,94757.3,0.0105648
0,184.247,94709.1,0.0105603
0,184.221,94650.7,0.010553
0,183.835,94756.4,0.0105655
0,184.123,94729.1,0.0105625
0,184.042,94734.1,0.0105622
0,183.816,94746.5,0.0105644
0,184.215,94771.8,0.0105664
0,183.857,94752.3,0.010565
0,184.362,94742,0.010564
0,183.833,94738.3,0.0105635
0,183.976,94828.1,0.0105727
0,183.949,94776,0.0105668
0,183.861,94775.8,0.0105668
0,183.807,94871.2,0.0105782
0,183.882,94771.1,0.0105663
0,183.963,94855,0.0105764
0,183.846,94876,0.0105779
0,185.426,94824.8,0.0105726
0,186.718,94729.5,0.0105628
0,183.752,94643.5,0.0105529
0,183.822,94637.5,0.0105514
0,183.97,94679.2,0.010557
0,183.818,94696,0.0105579
0,183.801,94644.7,0.0105531
0,183.81,94672.8,0.0105562
0,183.798,94763.1,0.0105654
0,184.243,94590.4,0.0105463
